cancer	datasource	term	overlap	p_value	adjusted_p_value	old_p_value	old_adjusted_p_value	odds_ratio	combined_score	genes	n_genes	datasource_hr
COAD	KEGG_2019_Human	Ferroptosis	3/40	4.892645868866266e-4	0.15069349276108102	0	0	19.48051948051948	148.49234683132352	SLC3A2;SLC39A8;GCLM	3	KEGG
COAD	KEGG_2019_Human	Influenza A	5/171	5.180037181874936e-4	0.07977257260087402	0	0	7.594744436849699	57.45825273610099	PYCARD;FDPS;RNASEL;NLRP3;RAF1	5	KEGG
LUAD	KEA_2015	MAP2K7	3/4	9.643469705365147e-5	0.04127405033896283	0	0	25.728987993138936	237.90680514143708	MAPK9;MAPK8;FADD	3	KEA
LUAD	Panther_2016	B cell activation Homo sapiens P00010	6/57	0.0061570710674995486	0.17239798988998736	0	0	3.611086034124763	18.38098434798794	MAPK9;MAPK8;PTPRC;PRKCD;BTK;NFATC4	6	Panther
LUAD	Panther_2016	Interferon-gamma signaling pathway Homo sapiens P00035	4/28	0.008393386839862543	0.18801186521292096	0	0	4.90075961774075	23.42715591359974	SOCS2;MAPK9;MAPK8;SOCS7	4	Panther
LUAD	Transcription_Factor_PPIs	BCL11A	4/19	0.001954111978293427	0.18694337925673785	0	0	7.222172068249526	45.05060518039858	HDAC1;SUMO3;UBC;SIRT3	4	TF
LUAD	Transcription_Factor_PPIs	DACH1	4/15	7.549309351322182e-4	0.10833258919147332	0	0	9.148084619782733	65.76452180258947	CREB1;NAGK;HDAC1;UBC	4	TF
LUAD	Transcription_Factor_PPIs	TP53	34/628	4.279712878915333e-4	0.12282775962487005	0	0	1.8572942500355072	14.40601824878689	TSG101;HDAC1;RNF38;HDAC9;MAPK9;STK11;UCHL1;MAPK8;BAIAP2L1;PNP;IFI16;TAF1B;SUMO3;BTBD2;TP53INP1;UBC;RPS3;TP53BP1;ZNF148;RAB4A;GADD45A;HSPA4;PRKCD;PRMT3;RAD23A;CFLAR;SIRT2;PTK2;DHFR;CREB1;CDK5;AGBL2;NMT1;BTK	34	TF
PAAD	KEGG_2019_Human	GnRH signaling pathway	4/93	9.706252952413906e-4	0.14947629546717414	0	0	9.151223976206818	63.48725746863227	MAPK8;JUN;ADCY9;CALM3	4	KEGG
PAAD	KEGG_2019_Human	Tight junction	5/170	0.0012480873703702515	0.12813697002467916	0	0	6.257822277847309	41.840694638146886	TUBA1C;SLC9A3R1;MAPK8;JUN;MYL9	5	KEGG
PAAD	PPI_Hub_Proteins	ARRB2	7/323	8.272183042142034e-4	0.07961976178061708	0	0	4.611026941571701	32.72649593949992	RPL4;TUBA1C;PFKFB3;RPL7L1;AP1B1;RPS3;S100A9	7	Hub
PAAD	PPI_Hub_Proteins	DNM1	5/129	3.5821873781559664e-4	0.0459714046863349	0	0	8.2467425366980045	65.43267985042763	CLIC4;MAPK8;ABI1;AP1B1;CCT8	5	Hub
PAAD	PPI_Hub_Proteins	ESR1	9/591	0.0018483473468370803	0.14232274570645517	0	0	3.240090722540231	20.391392262164626	RPL4;LACTB;MAPK8;JUN;FMR1;SETD7;RPS3;CALM3;LARP4	9	Hub
PAAD	PPI_Hub_Proteins	MEPCE	6/165	1.287211566479966e-4	0.04955764530947869	0	0	7.736943907156673	69.30647636017785	RPS3;ARHGEF1;U2AF1;CCT8;EXOSC2;LUC7L2	6	Hub
PAAD	PPI_Hub_Proteins	PRKCE	6/193	3.0082177655228347e-4	0.05790819198631457	0	0	6.614485723734979	53.636815608351505	GNA13;MAPK8;AP1B1;NUMB;RPS3;GAD2	6	Hub
PAAD	PPI_Hub_Proteins	SLC2A4	9/635	0.0029936551213034447	0.19209287028363772	0	0	3.015580499246105	17.52432290369738	RPL4;GNA13;MAPK8;COX15;GPT2;ABI1;RPS3;TMED2;HSPE1	9	Hub
PAAD	Transcription_Factor_PPIs	ESR1	14/871	5.4176327264080796e-5	0.015548605924791188	0	0	3.4198890978821113	33.594482047497245	RPL4;JUN;FMR1;SETD7;HSPE1;LARP4;FKBP1A;LACTB;TUBA1C;SLC9A3R1;MAPK8;RPS3;TMED2;CALM3	14	TF
PAAD	Transcription_Factor_PPIs	TP63	5/120	2.564023143961114e-4	0.036793732115841984	0	0	8.865248226950353	73.30463480897697	UPF2;TUBA1C;DAB2IP;CCT8;MYL9	5	TF
