cancer	gene_cls	datasource	term	overlap	p_value	adjusted_p_value	old_p_value	old_adjusted_p_value	odds_ratio	combined_score	genes	n_genes	datasource_hr
COAD	2	KEGG_2019_Human	Influenza A	4/171	8.998662022137746e-5	0.027715879028184256	0	0	16.70843776106934	155.6532926130751	PYCARD;FDPS;RNASEL;NLRP3	4	KEGG
COAD	5	LINCS_L1000_Kinase_Perturbations_down	EGFR knockdown 96h A375	4/300	5.892106403209957e-6	0.021470835733297083	0	0	29.629629629629633	356.7969481658638	PEX3;TOLLIP;MTO1;TMCO3	4	LINCS_down
COAD	5	LINCS_L1000_Kinase_Perturbations_down	PDK1 knockdown 96h HCC515	3/300	2.6248957151620326e-4	0.19130239972100893	0	0	22.222222222222225	183.22887120620172	PEX3;TOLLIP;MTO1	3	LINCS_down
COAD	6	PPI_Hub_Proteins	HSP90AB1	3/138	3.722676623873943e-5	0.01433230500191468	0	0	43.47826086956522	443.4122840378548	EIF3M;TRAF2;RAF1	3	Hub
LUAD	3	KEGG_2019_Human	Primary immunodeficiency	3/37	4.1836178375380655e-4	0.06442771469808621	0	0	20.526855969893944	159.6817787561908	BTK;TAP1;CD3D	3	KEGG
LUAD	3	KEGG_2019_Human	Th1 and Th2 cell differentiation	4/92	4.840151365930183e-4	0.04969222069021654	0	0	11.007154650522839	84.02195242470165	MAPK9;MAF;HLA-DOA;CD3D	4	KEGG
LUAD	3	KEGG_2019_Human	Th17 cell differentiation	4/107	8.548697333356204e-4	0.06582496946684277	0	0	9.464095587365431	66.85968493369988	MAPK9;AHR;HLA-DOA;CD3D	4	KEGG
LUAD	3	LINCS_L1000_Kinase_Perturbations_up	PRKD2 knockdown 96h HA1E	8/300	2.419724197604568e-5	0.08817474976071045	0	0	6.751054852320675	71.75879763192215	LRRC36;SF3A3;EPB41L1;PQLC3;BTK;TACC1;SYNJ2;ZFP37	8	LINCS_up
LUAD	3	LINCS_L1000_Kinase_Perturbations_up	STK16 knockdown 96h HCC515	8/300	2.419724197604568e-5	0.044087374880355225	0	0	6.751054852320675	71.75879763192215	MAPK9;EPB41L1;BTK;NRL;TACC1;AOAH;HLA-DOA;SOCS7	8	LINCS_up
LUAD	3	LINCS_L1000_Kinase_Perturbations_up	VN1R5 knockdown 96h HT29	7/300	1.8348952637266304e-4	0.16715895852549603	0	0	5.9071729957805905	50.8214943321584	HEMK1;C12ORF4;STRN;AOAH;HLA-DOA;PHEX;TMEM186	7	LINCS_up
