cancer	gene_cls	datasource	term	overlap	p_value	adjusted_p_value	old_p_value	old_adjusted_p_value	odds_ratio	combined_score	genes	n_genes
COAD	1	GO_Biological_Process_2018	mitochondrial respiratory chain complex assembly (GO:0033108)	9/98	1.954254191444232e-12	9.972559138939916e-9	0	0	37.48438150770512	1010.6168777478402	NDUFA6;SCO1;NDUFA5;NDUFS5;NDUFAF4;NDUFB3;NDUFAF3;NDUFC1;FOXRED1	9
COAD	1	GO_Biological_Process_2018	NADH dehydrogenase complex assembly (GO:0010257)	8/65	3.2342127291926935e-12	8.252093778535158e-9	0	0	50.23547880690738	1329.0918971662581	NDUFA6;NDUFA5;NDUFS5;NDUFAF4;NDUFB3;NDUFAF3;NDUFC1;FOXRED1	8
COAD	1	GO_Biological_Process_2018	mitochondrial respiratory chain complex I biogenesis (GO:0097031)	8/65	3.2342127291926935e-12	5.501395852356772e-9	0	0	50.23547880690738	1329.0918971662581	NDUFA6;NDUFA5;NDUFS5;NDUFAF4;NDUFB3;NDUFAF3;NDUFC1;FOXRED1	8
COAD	1	GO_Biological_Process_2018	mitochondrial respiratory chain complex I assembly (GO:0032981)	8/65	3.2342127291926935e-12	4.126046889267579e-9	0	0	50.23547880690738	1329.0918971662581	NDUFA6;NDUFA5;NDUFS5;NDUFAF4;NDUFB3;NDUFAF3;NDUFC1;FOXRED1	8
COAD	1	GO_Biological_Process_2018	mitochondrial ATP synthesis coupled electron transport (GO:0042775)	6/86	6.385126303210211e-8	6.51665990505634e-5	0	0	28.4765068818225	471.7620163291306	NDUFA6;NDUFA5;NDUFS5;NDUFB3;NDUFC1;COQ7	6
COAD	1	GO_Biological_Process_2018	mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	5/47	1.0159062493567309e-7	8.640282650778996e-5	0	0	43.421623968736434	699.188648732729	NDUFA6;NDUFA5;NDUFS5;NDUFB3;NDUFC1	5
COAD	1	GO_Biological_Process_2018	mitochondrial translation (GO:0032543)	6/108	2.4954094985852824e-7	1.8191535244686707e-4	0	0	22.675736961451246	344.7538051594744	LARS2;MRPS24;MRPL47;MRPL46;MTRF1L;MRPL32	6
COAD	1	GO_Biological_Process_2018	mitochondrial translational termination (GO:0070126)	5/90	2.690062959388746e-6	0.0017159239102200964	0	0	22.675736961451246	290.83777686274806	MRPS24;MRPL47;MRPL46;MTRF1L;MRPL32	5
COAD	1	GO_Biological_Process_2018	respiratory electron transport chain (GO:0022904)	5/95	3.5140880437478906e-6	0.001992487920805054	0	0	21.482277121374864	269.79012918103643	NDUFA6;NDUFA5;NDUFS5;NDUFB3;NDUFC1	5
COAD	1	GO_Biological_Process_2018	translational termination (GO:0006415)	5/97	3.894343070197265e-6	0.0019872832687216646	0	0	21.039343572480536	262.06575957575967	MRPS24;MRPL47;MRPL46;MTRF1L;MRPL32	5
