cancer	hugo_symbol	gene_cls	g12d_ach_000007	wt_ach_000009	wt_ach_000202	g12d_ach_000286	g12d_ach_000350	g13d_ach_000381	g13d_ach_000403	g12v_ach_000467	g12v_ach_000651	wt_ach_000683	g12v_ach_000820	wt_ach_000926	g13d_ach_000950	g12d_ach_000957	wt_ach_000959	wt_ach_000963	wt_ach_000969	wt_ach_000986	wt_ach_001061	g12d_ach_001345	wt_ach_001454	wt_ach_001458	wt_ach_001461
COAD	ADGRB1	1	-0.221545489114	0.241999195691	0.0224157602073	-0.399664740986	0.0147415374146	-0.0254574574533	-0.0653296655703	-0.213643970102	-0.0461538297312	-0.112291257655	0.0175872021636	0.0769334182455	0.0772495853925	-0.132577892152	0.112811867301	0.28810424764	0.271917090314	0.125786066954	-0.0238549493766	-0.330990362967	-0.0447437997606	-0.00637868578137	0.00650191545554
COAD	DCHS1	1	-0.133083388559	-0.0341484134853	0.169787444394	-0.23165551585	-0.176473260576	0.0250822515482	0.00883112559523	0.0232990285852	-0.14657596714	-0.0575447736014	0.0159851578737	0.0395958851309	0.133963673875	-0.0705805821728	0.0413557251843	-0.20304528239	0.0519925268909	0.0636571966144	0.0626954123111	-0.304698231798	-0.047187165894	-0.0236687463224	-0.105864015411
COAD	MTRF1L	1	-0.120479518682	-0.326352447969	-0.279096737922	-0.547722366686	-0.634533845984	-0.0677034850474	-0.284045405104	-0.67387582748	-0.696303238343	-0.371802219755	-0.51914054606	-0.379279507163	-0.0195343108979	-0.362827144584	-0.179957897044	-0.109596375871	-0.123108698121	-0.181641285402	-0.487889312772	-0.320449067795	-0.525433556225	-0.475792657016	-0.112681387286
COAD	NDUFAF3	1	-0.774154129466	-0.330670678426	-0.620082496029	-0.982091262974	-0.621502527505	-0.427257241484	-0.636829041467	-0.898886024617	-1.07951677087	-0.569613970911	-0.530707023969	-0.598545008896	-0.4401273064	-0.885053038226	-0.490239061367	-0.529974218584	-0.734191674746	-0.643288396946	-0.46663366539	-1.11367906893	-0.539567433936	-0.560363697386	-0.466249851793
COAD	PAX6	1	-0.0950071542247	-0.0398738854681	-0.150769580541	-0.173172498724	-0.155212310384	0.157562028606	0.18003279989	0.0777189383028	0.00685638367172	-0.0447049415223	-0.0856832440714	-0.0151806445214	0.176731619374	-0.0879687051402	0.0129670994874	0.0226286961829	-0.217639706176	-0.172633306636	-0.102850711246	-0.228041033633	-0.141972457787	0.0459851308896	0.120711098596
COAD	PDE2A	1	-0.219408430352	-0.0808960991868	-0.216078651199	-0.534157869451	-0.306389232871	0.0482125763946	-0.0057156128135300004	-0.0346037965344	-0.00276673082086	-0.0855679376234	-0.333863192096	-0.260000526097	-0.075708025115	-0.259736674146	-0.0163295255571	-0.281002351931	-0.234126883929	-0.0119030367292	-0.279321123024	-0.429609935806	0.0288962807034	-0.272727926587	-0.0350717142543
COAD	PRELID2	1	-0.12620471897	0.019373866643	0.121228405605	-0.0906253234285	-0.205752707986	0.0558541888917	-0.0101346724989	-0.00295661421718	-0.0343296579022	0.00289564118158	-0.179053338681	0.207121813136	0.139173940103	0.0325799784521	0.0616834150914	0.0320624626179	-0.0338220822463	-0.0183728119176	0.0808873745271	-0.175088402778	0.0112718459794	0.235687488688	0.0359969075832
COAD	SLIRP	1	-0.382910123945	-0.237592845627	-0.340470266926	-0.242227176372	-0.370619195303	-0.0975600405437	-0.299905811238	-0.471933240306	-0.441615998993	-0.265762872055	-0.441791027061	-0.153178667005	0.170282855348	-0.38187963649	-0.101526598851	-0.321938533992	-0.147799443655	-0.294489129143	-0.237414375354	-0.315057979374	-0.415612203994	-0.380080043347	-0.43809066635
COAD	SMIM15	1	-0.099968336128	0.0714779144692	-0.204225728174	-0.0651264414504	-0.218787204967	0.0877752279944	0.154788150253	-0.0738318114645	0.0644127962037	-0.0876173097484	-0.176816399248	0.0117397101862	0.128479288224	-0.235271698215	-0.0566192120067	-0.126337096177	-0.0999368600524	-0.116158391386	-0.0750357175276	-0.416318570519	-0.105350390981	0.206176613452	0.0860181318287
COAD	ADCK2	2	0.23442457149	-0.0882293483316	-0.30360507342	0.262750778572	0.140390668271	-0.334581659767	-0.0461694355714	-0.145681774421	-0.0221931518725	0.00620411084079	-0.541465277609	-0.130218828927	-0.278276981578	0.0735687157855	-0.171587372959	-0.331618831661	-0.118904517816	-0.0189329626147	-0.127208969592	0.0517856212798	0.0549617868404	0.130272803193	0.0906798348304
COAD	CA7	2	-0.20895447627	-0.159760664699	-0.446302754305	-0.280419383878	-0.371928350812	-0.388518895915	-0.381890235142	-0.412730784389	-0.666784287482	-0.457897702209	-0.800957367522	-0.477413682748	-0.220605664066	-0.138132720528	-0.534785960642	-0.147369043709	-0.539169391594	NA	-0.336912312311	-0.140606374066	-0.28810530222	-0.33631661645099997	-0.394206739544
COAD	CDK2AP1	2	0.0419170225826	-0.135341384857	-0.267999924028	0.012152595859	-0.281961563969	-0.333807009468	-0.242616848314	-0.306141697925	-0.318264804198	-0.0810743161482	-0.463984781994	-0.181913491003	-0.315180468572	-0.319233745636	-0.0665744947147	0.111002788232	-0.0839176768798	-0.14423415501	-0.0163173400866	-0.014770351268	-0.122654718253	-0.0920793557771	-0.291068462273
COAD	CLSTN2	2	0.319328894366	0.188208584814	-0.0359677173385	0.101449176623	0.383319981984	0.138583711762	0.305662358615	0.0721637747289	0.0308137529033	0.193045819845	-0.306711909866	0.0549385366286	0.00119753277268	0.172873193123	0.0164762125733	0.0945833131291	-0.00447101484929	0.00436226504004	0.109497082871	0.226412999708	-0.075145919534	0.00170274937875	-0.00755107569143
COAD	DZIP1	2	0.246909959027	0.373740111644	0.316004434927	0.217790408404	-0.0593873737889	0.148626358062	0.135309209248	0.137892912322	0.048261302601	0.238395636943	-0.0133218370444	0.29639400081	0.101774048849	0.121638629318	0.27581958471	0.134710128312	0.211209971242	0.25973664787	0.25071147704	0.171251608364	NA	0.196514648103	0.158448278784
COAD	GLRX5	2	-0.557453765656	-0.315889022229	-1.0578557568	-0.854922769198	-0.650679001094	-0.509622098366	-0.760999814698	-0.57741410936	-1.25423284537	-0.408982078412	-1.09694116462	-0.33835426913	-0.795492271123	-0.756284952691	-0.485116806658	-0.449712362845	-0.380994772321	-0.396033923063	-0.503382769624	-0.848730112385	-0.345124131338	-0.380895527087	-0.367520010591
COAD	KRTAP5-5	2	-0.17422111715	-0.0663951858624	0.0476505717444	-0.282992103997	-0.35066096282	-0.0859261888856	-0.0790193891864	-0.261750318314	-0.128407694634	-0.0650971389465	-0.423665752383	-0.0419000365311	-2.81834949376e-4	-0.230953835029	-0.210611296176	0.105583448793	0.113904479203	-0.0541172657818	-0.0683674390301	-0.133744529636	-0.125673207474	-0.247315351492	-0.0519328872828
COAD	MOCS3	2	-0.716344410877	-0.948521644116	-0.960064343246	-0.720154886243	-0.872419836021	-0.929077718444	-0.789162580019	-1.06762283112	-1.093844595	-1.15546478391	-2.1854859903	-0.980064013874	-0.707071369208	-0.806471550858	-0.761174057292	-1.02613696598	-0.789122670403	-0.791278692122	-1.0714442018	-0.75800851606	-0.995291757261	-1.01201557326	-1.11740091095
COAD	PRLR	2	-0.33591618045	-0.07908146053	-0.0391296102613	-0.281405534152	-0.158408133381	-0.10609727123	0.0186646863854	-0.119106073435	-0.0652382194119	0.0516823827661	-0.304351631478	0.0428680292627	-0.26285245001699997	-0.0255321414522	0.0365457155407	0.0879835576753	0.0791546622155	-0.0401991166378	-0.0493319440912	-0.114199117107	-0.0741732232074	0.0504311322417	0.101654995109
COAD	ANKRD18A	3	0.151324869274	-0.191606803568	0.0928680807626	0.195008614624	0.179473064186	-0.0459089220412	0.0728651058157	0.0382646800921	0.0432375407137	0.125951518496	0.0365739858893	-0.0962542232143	-0.221109383877	0.0821352287428	-0.159176316166	-0.0809893109406	0.0778878459628	-0.0404487451747	0.079956064383	0.149373452536	-0.105949983424	-0.0277928202345	-0.0440686146328
COAD	C1orf210	3	0.219703950637	0.116133583353	0.318171900461	0.258023860164	0.220671372836	0.125081229074	0.0473593785027	0.0831378865884	0.0829111528246	0.137018102933	0.180702817165	0.294154139968	-0.0592944912044	0.375847000473	0.148209580753	0.0405968303075	0.117346916775	0.088166502498	0.0967709608585	0.21859884834	0.0518292506243	0.188992494023	0.0850126341727
COAD	CCDC110	3	0.407571516143	-0.0371529348942	0.0912988898484	0.281410370877	0.124384733256	0.166654983402	0.0698422450985	0.133562892835	0.0101093068483	-0.0179237484509	-0.236951100555	0.0339330015919	-0.0275819526228	0.320324322629	0.151377569493	0.0650925301	0.132002039733	0.0881942596201	0.185821048426	0.150381286665	-0.0800618308267	NA	0.100985331407
